date,actual,counterfactual_forecast,difference,difference_pct
2025-04-02,3350.13,3356.55833312535,-6.42833312535186,-0.00191883094845629
2025-04-03,3342.01,3350.51205907172,-8.50205907172358,-0.00254399570070813
2025-04-07,3096.58,3348.61786091657,-252.037860916575,-0.0813923298983314
2025-04-08,3145.55,3354.42191744402,-208.871917444023,-0.0664023517171951
2025-04-09,3186.81,3355.99130166181,-169.181301661806,-0.0530879787818559
2025-04-10,3223.64,3354.77407426836,-131.13407426836,-0.0406788829609882
2025-04-11,3238.23,3352.34330291798,-114.113302917976,-0.0352394063787859
2025-04-14,3262.81,3353.08397555497,-90.2739755549651,-0.027667555130383
2025-04-15,3267.66,3358.285994396,-90.625994395999,-0.0277342178794608
2025-04-16,3276.0,3356.5200453141,-80.5200453140951,-0.0245787684108959
2025-04-17,3280.34,3353.9314780344,-73.591478034401,-0.0224341007439476
2025-04-18,3276.73,3353.29968615144,-76.5696861514371,-0.0233677129795366
2025-04-21,3291.43,3356.63334323736,-65.2033432373632,-0.0198100349201907
2025-04-22,3299.76,3356.03210093442,-56.2721009344227,-0.0170533920450041
2025-04-23,3296.36,3349.93296162572,-53.5729616257149,-0.0162521574177926
2025-04-24,3297.29,3351.80861660544,-54.5186166054418,-0.0165343711367341
